OBJECTID,plz,einwohner,SHAPE_Length,SHAPE_Area
1,81248,121,9358.74903029328,4455346.78289538
2,60315,0,857.673222519386,42489.6804807446
3,24988,3350,52394.4494238682,109166268.156355
4,93185,1786,71187.7000830484,76615246.4148547
5,93489,2622,62340.4654426135,90115006.3882877
6,93494,2018,58092.4903042162,59003238.2505999
7,93473,1931,50309.453527975,66308556.0665787
8,99331,4523,46792.8482037501,50351732.5559882
9,60312,0,267.065318286679,4446.40103204533
10,98694,7028,122071.026514034,199537108.962163
11,39628,3147,109766.577330274,339071239.385367
12,64760,10491,134601.727490366,392872378.922507
13,35647,4855,71649.6341700418,110283979.447974
14,31195,5876,93723.7557809652,185587953.727139
15,31084,4892,70285.5748579788,139853227.552215
16,27639,17093,126536.480850535,513231546.532398
17,99707,4281,137991.258646738,329483795.468588
18,93413,16528,136093.921470264,188807672.49203
19,93499,1812,50562.797443999,50473077.3497994
20,25867,21,14100.5559312978,5784603.35017555
21,82475,0,16446.9383452393,14133180.25735
22,49593,7845,61426.9665642849,114753675.304298
23,93477,865,44720.3589094562,35998605.5009271
24,24367,940,28781.2922597958,29037790.3959355
25,60306,0,510.604008695178,13993.4220474377
26,49849,1647,44335.4769929213,127325863.584087
27,93444,7150,92126.2029896393,145345728.597328
28,93488,1971,70474.6440239792,102778981.645843
29,04862,5193,90384.4608317083,295101646.438716
30,38473,1260,32744.9295091466,44131262.0644032
31,09634,602,23097.1529538087,19638434.0901231
32,16552,6103,25991.0529154614,17872308.2088574
33,29579,757,29098.3923201984,30312679.4011809
34,93466,2621,59377.2602255223,54812187.2858646
35,93189,1194,44325.119546569,24549525.3746784
36,99819,1609,46223.3368973539,45846037.5041236
37,93497,2081,28940.1689999427,24173381.8898267
38,93476,1951,39125.3088616539,39718484.3645663
39,93437,9044,89353.5145359681,157595799.483681
40,49610,12199,43974.0126451854,50137450.6008797
41,38476,1021,40710.2996049646,53531873.995883
42,93480,1957,38632.1811429125,56768147.9383684
43,93453,3834,74730.0350689996,140443221.560857
44,93491,2185,60786.6971323642,101895889.102258
45,49699,4713,59466.5047958757,180113326.899294
46,38556,971,30602.2758937804,39015451.602129
47,49696,7729,89509.9705524303,281018068.547463
48,93468,2276,65940.2424831002,58965769.1835045
49,93192,2813,85104.4745501091,88172612.6968568
50,93479,1527,35656.2821077549,23845611.3336147
51,93449,6784,104376.743576013,238409027.795464
52,93483,948,29157.6502567446,21458141.5819654
53,49692,6881,79313.77020147,208483637.929889
54,35687,1986,27067.1778859423,30812879.1045086
55,35690,1107,28290.8725807463,28319736.2165689
56,49688,6743,71838.9183290075,233591514.250232
57,49685,11393,90984.9041659398,297276217.380657
58,35686,1523,16389.8456635285,16279841.7318917
59,49681,14097,92907.5868728268,312811728.493032
60,49661,32984,81934.9852516125,194006746.424276
61,35684,3785,18610.4502827117,22277422.162538
62,49635,4510,89522.3186010417,211228596.749639
63,25576,1014,30080.1601815831,39186980.1244134
64,49632,8314,87220.9916219862,267179004.536308
65,49456,5912,81532.9456979795,214537074.756239
66,35688,2193,28481.1209574537,41310797.8579425
67,49439,9618,85484.9536996471,162469934.883904
68,49429,9321,78105.0524158924,230263603.350684
69,49424,9255,79776.1442621003,242576741.512109
70,49413,12662,80160.2200870053,197232541.300608
71,49401,16297,80496.7544792056,279639547.793944
72,49638,2967,44180.949553818,73979562.6219294
73,38378,900,29275.580315256,21004951.1105945
74,49637,2529,76253.812681206,176721822.273645
75,49624,13094,109076.832335572,391336028.875806
76,49393,24884,112863.01457677,247382225.349247
77,49377,30373,87259.3127731118,239279448.890841
78,49596,2529,48160.0081102844,100003899.771381
79,35685,2605,19163.0102542738,15875957.1408942
80,35683,9513,31801.8914760825,40200954.7069146
81,49451,6549,69416.9327129231,148595156.451565
82,49434,7886,94987.8559671142,247314780.62302
83,35689,1171,18788.001026054,18466040.2058749
84,93161,6789,76429.3479705916,102375256.983744
85,49846,2896,58202.8263772627,134269797.161256
86,49844,2337,43218.6977788127,55234009.9178843
87,49774,4722,75645.1638500832,217649667.300592
